CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment_RuleBased,Cluster,Segment_Cluster
C00001,1,25,73849.75,5,5,5,555,15,Champions,2,Champions
C00002,71,4,4383.75,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00003,9,9,13806.7,5,3,4,534,12,Loyal Customers,0,At Risk
C00004,127,2,3370.41,2,1,2,212,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00005,358,3,2573.2,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00006,420,4,2823.77,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00007,41,9,15107.71,4,3,4,434,11,Loyal Customers,0,At Risk
C00008,131,8,2695.0,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00009,176,3,4640.32,2,1,3,213,6,Needs Attention,1,Price-Sensitive / Low-Value
C00010,306,6,3000.04,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00011,20,17,31130.75,5,5,5,555,15,Champions,2,Champions
C00012,16,21,64324.04,5,5,5,555,15,Champions,2,Champions
C00013,5,14,25713.85,5,4,4,544,13,Champions,2,Champions
C00014,186,9,11267.470000000001,2,3,3,233,8,At Risk,0,At Risk
C00015,207,8,12251.05,2,3,4,234,9,At Risk,0,At Risk
C00016,57,10,4068.99,4,4,3,443,11,Loyal Customers,1,Price-Sensitive / Low-Value
C00017,113,2,582.54,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00018,120,10,17813.76,3,4,4,344,11,Loyal Customers,0,At Risk
C00019,96,1,914.2,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00020,19,9,22136.53,5,3,4,534,12,Loyal Customers,2,Champions
C00021,349,3,2359.56,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00022,396,1,593.9,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00023,312,3,2286.54,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00024,383,1,1205.91,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00025,11,18,29988.72,5,5,5,555,15,Champions,2,Champions
C00026,15,29,90815.62,5,5,5,555,15,Champions,2,Champions
C00027,187,1,1681.17,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00028,508,1,962.67,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00029,57,15,27408.46,4,4,5,445,13,Champions,2,Champions
C00030,37,22,75984.43,4,5,5,455,14,Champions,2,Champions
C00031,371,3,2180.36,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00032,30,25,83231.22,5,5,5,555,15,Champions,2,Champions
C00033,151,8,11761.34,2,3,3,233,8,At Risk,0,At Risk
C00034,94,13,5105.6900000000005,3,4,3,343,10,Loyal Customers,0,At Risk
C00035,38,16,28331.72,4,5,5,455,14,Champions,2,Champions
C00036,66,16,27107.170000000002,4,5,5,455,14,Champions,2,Champions
C00037,118,8,3024.21,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00038,88,5,1937.57,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00039,389,5,3474.29,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00040,178,11,20024.37,2,4,4,244,10,At Risk,0,At Risk
C00041,12,28,87009.72,5,5,5,555,15,Champions,2,Champions
C00042,66,9,3335.27,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00043,53,2,2104.19,4,1,1,411,6,New Customers,1,Price-Sensitive / Low-Value
C00044,48,19,35809.59,4,5,5,455,14,Champions,2,Champions
C00045,47,6,2846.59,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00046,38,14,24988.37,4,4,4,444,12,Champions,2,Champions
C00047,20,8,14988.61,5,3,4,534,12,Loyal Customers,0,At Risk
C00048,34,21,40566.07,4,5,5,455,14,Champions,2,Champions
C00049,144,10,19064.9,2,4,4,244,10,At Risk,0,At Risk
C00050,175,14,21786.53,2,4,4,244,10,At Risk,0,At Risk
C00051,69,5,5320.97,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00052,53,6,2240.37,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00053,382,4,3737.38,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00054,56,12,17530.74,4,4,4,444,12,Champions,0,At Risk
C00055,16,13,43314.26,5,4,5,545,14,Champions,2,Champions
C00056,8,25,87654.36,5,5,5,555,15,Champions,2,Champions
C00057,62,17,32595.61,4,5,5,455,14,Champions,2,Champions
C00058,75,7,2492.75,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00059,118,3,1108.33,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00060,174,4,1674.5900000000001,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00061,48,13,17642.13,4,4,4,444,12,Champions,2,Champions
C00062,179,8,16868.61,2,3,4,234,9,At Risk,0,At Risk
C00063,181,2,1716.42,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00064,14,18,57186.02,5,5,5,555,15,Champions,2,Champions
C00065,24,7,2520.05,5,3,2,532,10,Needs Attention,1,Price-Sensitive / Low-Value
C00066,462,4,3047.0299999999997,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00067,105,7,13685.470000000001,3,3,4,334,10,Loyal Customers,0,At Risk
C00068,49,7,2735.4300000000003,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00069,203,1,930.84,2,1,1,211,4,Dormant / Lost,3,Dormant / Lost
C00070,54,18,30315.13,4,5,5,455,14,Champions,2,Champions
C00071,115,7,2792.41,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00072,149,9,13980.74,2,3,4,234,9,At Risk,0,At Risk
C00073,20,26,79471.4,5,5,5,555,15,Champions,2,Champions
C00074,177,7,3612.2000000000003,2,3,3,233,8,At Risk,1,Price-Sensitive / Low-Value
C00075,408,6,2978.74,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00076,130,14,19283.54,2,4,4,244,10,At Risk,0,At Risk
C00077,146,10,14651.12,2,4,4,244,10,At Risk,0,At Risk
C00078,257,4,3542.7200000000003,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00079,83,2,1764.23,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00080,140,7,2818.51,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00081,58,9,17118.59,4,3,4,434,11,Loyal Customers,0,At Risk
C00082,269,5,4714.51,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00083,9,17,30938.489999999998,5,5,5,555,15,Champions,2,Champions
C00084,147,3,1421.56,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00085,14,22,73823.82,5,5,5,555,15,Champions,2,Champions
C00086,124,6,1895.1100000000001,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00087,91,13,26008.329999999998,3,4,5,345,12,Loyal Customers,0,At Risk
C00088,36,3,4556.32,4,1,3,413,8,New Customers,1,Price-Sensitive / Low-Value
C00089,204,10,14372.65,2,4,4,244,10,At Risk,0,At Risk
C00090,23,20,34081.729999999996,5,5,5,555,15,Champions,2,Champions
C00091,190,5,1492.03,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00092,400,6,3191.69,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00093,307,3,1903.79,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00094,25,23,43047.4,5,5,5,555,15,Champions,2,Champions
C00095,146,8,2907.91,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00096,83,7,2389.7799999999997,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00097,140,7,13014.59,2,3,4,234,9,At Risk,0,At Risk
C00098,26,28,93025.99,5,5,5,555,15,Champions,2,Champions
C00099,165,9,3998.35,2,3,3,233,8,At Risk,0,At Risk
C00100,429,5,4704.14,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00101,110,6,2470.99,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00102,36,6,5608.57,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00103,42,1,1120.05,4,1,1,411,6,New Customers,1,Price-Sensitive / Low-Value
C00104,68,17,29007.88,4,5,5,455,14,Champions,2,Champions
C00105,142,5,2346.58,2,2,2,222,6,Dormant / Lost,1,Price-Sensitive / Low-Value
C00106,136,4,1617.72,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00107,23,14,24190.86,5,4,4,544,13,Champions,2,Champions
C00108,306,3,2268.87,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00109,36,13,21348.489999999998,4,4,4,444,12,Champions,2,Champions
C00110,361,3,1734.56,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00111,182,5,7757.58,2,2,3,223,7,Needs Attention,1,Price-Sensitive / Low-Value
C00112,13,10,16754.79,5,4,4,544,13,Champions,0,At Risk
C00113,179,8,13379.99,2,3,4,234,9,At Risk,0,At Risk
C00114,152,3,3805.79,2,1,3,213,6,Needs Attention,1,Price-Sensitive / Low-Value
C00115,47,27,81733.1,4,5,5,455,14,Champions,2,Champions
C00116,168,1,908.39,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00117,115,8,2804.58,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00118,164,2,839.49,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00119,22,34,103808.55,5,5,5,555,15,Champions,2,Champions
C00120,248,1,808.3,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00121,7,25,85002.52,5,5,5,555,15,Champions,2,Champions
C00122,100,8,3655.11,3,3,3,333,9,Loyal Customers,1,Price-Sensitive / Low-Value
C00123,15,19,62886.18,5,5,5,555,15,Champions,2,Champions
C00124,298,7,5459.27,1,3,3,133,7,At Risk,3,Dormant / Lost
C00125,90,4,1933.22,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00126,24,4,5762.44,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00127,53,2,2321.27,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00128,23,14,25577.98,5,4,4,544,13,Champions,2,Champions
C00129,122,13,21589.34,3,4,4,344,11,Loyal Customers,0,At Risk
C00130,387,6,5666.33,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00131,493,2,1214.25,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00132,17,29,91815.48,5,5,5,555,15,Champions,2,Champions
C00133,175,3,1435.79,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00134,36,8,3356.63,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00135,61,8,3744.3,4,3,3,433,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00136,50,17,33579.79,4,5,5,455,14,Champions,2,Champions
C00137,75,26,49795.13,3,5,5,355,13,Loyal Customers,2,Champions
C00138,100,12,21604.37,3,4,4,344,11,Loyal Customers,0,At Risk
C00139,381,7,5211.27,1,3,3,133,7,At Risk,3,Dormant / Lost
C00140,36,3,3639.34,4,1,3,413,8,New Customers,1,Price-Sensitive / Low-Value
C00141,76,2,2838.08,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00142,279,3,2534.07,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00143,133,5,1804.51,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00144,507,2,1512.3,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00145,28,3,3887.13,5,1,3,513,9,New Customers,1,Price-Sensitive / Low-Value
C00146,41,13,23751.41,4,4,4,444,12,Champions,2,Champions
C00147,339,9,7241.84,1,3,3,133,7,At Risk,3,Dormant / Lost
C00148,51,3,4400.35,4,1,3,413,8,New Customers,1,Price-Sensitive / Low-Value
C00149,45,16,30248.67,4,5,5,455,14,Champions,2,Champions
C00150,112,12,16410.85,3,4,4,344,11,Loyal Customers,0,At Risk
C00151,6,34,109348.52,5,5,5,555,15,Champions,2,Champions
C00152,68,2,1864.85,4,1,1,411,6,New Customers,1,Price-Sensitive / Low-Value
C00153,228,1,1113.38,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00154,424,7,4257.95,1,3,3,133,7,At Risk,3,Dormant / Lost
C00155,374,6,3532.5,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00156,36,13,22704.01,4,4,4,444,12,Champions,2,Champions
C00157,216,11,19156.77,1,4,4,144,9,At Risk,0,At Risk
C00158,25,27,84365.01,5,5,5,555,15,Champions,2,Champions
C00159,395,3,1663.67,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00160,163,16,23341.95,2,5,4,254,11,At Risk,0,At Risk
C00161,91,11,4906.43,3,4,3,343,10,Loyal Customers,0,At Risk
C00162,42,10,2898.46,4,4,2,442,10,Needs Attention,1,Price-Sensitive / Low-Value
C00163,147,12,19308.62,2,4,4,244,10,At Risk,0,At Risk
C00164,142,10,17537.69,2,4,4,244,10,At Risk,0,At Risk
C00165,480,1,978.23,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00166,398,2,2333.88,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00167,154,11,20590.55,2,4,4,244,10,At Risk,0,At Risk
C00168,66,2,3147.8,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00169,483,2,1166.94,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00170,10,26,82928.58,5,5,5,555,15,Champions,2,Champions
C00171,242,6,8062.139999999999,1,2,3,123,6,Needs Attention,0,At Risk
C00172,35,13,22785.12,4,4,4,444,12,Champions,2,Champions
C00173,107,2,2742.45,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00174,22,23,71500.18,5,5,5,555,15,Champions,2,Champions
C00175,155,12,19039.82,2,4,4,244,10,At Risk,0,At Risk
C00176,38,23,42593.07,4,5,5,455,14,Champions,2,Champions
C00177,19,4,4618.5199999999995,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00178,178,5,3326.57,2,2,2,222,6,Dormant / Lost,1,Price-Sensitive / Low-Value
C00179,279,6,5129.36,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00180,278,2,1149.46,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00181,50,6,2473.62,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00182,6,33,98970.69,5,5,5,555,15,Champions,2,Champions
C00183,21,14,25643.53,5,4,4,544,13,Champions,2,Champions
C00184,261,3,2217.11,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00185,121,13,22412.440000000002,3,4,4,344,11,Loyal Customers,0,At Risk
C00186,30,12,20743.21,5,4,4,544,13,Champions,2,Champions
C00187,145,7,3090.75,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00188,119,15,21844.21,3,4,4,344,11,Loyal Customers,0,At Risk
C00189,33,13,20155.239999999998,4,4,4,444,12,Champions,2,Champions
C00190,107,5,3599.54,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00191,333,4,3314.13,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
